Battle_Tag,Hero1,Hero2,Hero3,Hero4,Hero5
Morellio-1416,Mercy,Reinhardt,Orisa,Moira,Winston
Zinux-1251,Hanzo,Ana,Torbjörn,Soldier: 76,Lúcio
BluePillow-21338,Hanzo,Genji,Widowmaker,McCree,Tracer
Miyuna-21516,Widowmaker,Reinhardt,Pharah,Genji,Hanzo
Mood-21538,Widowmaker,Tracer,Hanzo,Ana,Zenyatta
Hunter18112-1984,Reinhardt,Mercy,Hanzo,Lúcio,Orisa
Yoda-22377,Genji,Hanzo,Widowmaker,McCree,Ashe
Ne0x-2676,Genji,Doomfist,Tracer,Hanzo,Zenyatta
TimeToShine-21533,Tracer,Widowmaker,Genji,McCree,Hanzo
Zugzug-1342,Widowmaker,Pharah,Zenyatta,Reinhardt,Ashe
Okay-11514,Genji,Widowmaker,Hanzo,Doomfist,Tracer
Delta021-1534,Hanzo,Genji,McCree,Soldier: 76,Reaper
Nessi-11637,D.Va,Ana,Widowmaker,Mercy,Reinhardt
FireAlpha-2225,Pharah,Wrecking Ball,Junkrat,D.Va,Widowmaker
NateMaster-11517,Lúcio,Zarya,Orisa,Winston,Reinhardt
Varskull-2424,Sombra,Orisa,Ana,Zenyatta,Tracer
Cheloux-2153,Zarya,Winston,Ana,Reinhardt,Lúcio
Myth-12545,Doomfist,Symmetra,Soldier: 76,Ashe,Zenyatta
jackattack40-1398,Doomfist,Roadhog,Tracer,Genji,D.Va
Legendary-14292,Widowmaker,Mercy,Mei,Symmetra,Pharah
Transversal-11549,McCree,Widowmaker,Reinhardt,Tracer,Hanzo
WODwarrior-1746,Roadhog,Orisa,Mercy,Pharah,Junkrat
JCTheAllStar-1792,Genji,Junkrat,Reaper,Doomfist,Hanzo
Deathbed-1368,Roadhog,Reaper,Soldier: 76,Bastion,Junkrat
Dudezo-1756,Moira,Hanzo,Soldier: 76,Roadhog,Reinhardt
PinkWeasel-21707,Orisa,D.Va,Mercy,Roadhog,Mei
BalloonCake-1933,Wrecking Ball,Doomfist,Moira,Tracer,D.Va
Wotton-11398,D.Va,Lúcio,Mercy,Roadhog,Winston
DocBGood-1806,Junkrat,Hanzo,Genji,Tracer,Mercy
Cyr-2925,Brigitte,Lúcio,Moira,Zarya,D.Va
chrome-12941,McCree,Ana,Sombra,Ashe,Bastion
Kosmos-11882,Lúcio,Hanzo,Baptiste,Moira,Ashe
Ciezan-1665,Reinhardt,Moira,Pharah,Winston,Roadhog
okkokk-1493,Ashe,Sigma,Junkrat,Reinhardt,Reaper
CLLOYD006-1672,Widowmaker,D.Va,Tracer,Roadhog,Mercy
Emixam-21653,Ana,Reinhardt,Lúcio,Zenyatta,Mei
TricklyTrash-1993,Widowmaker,Genji,Roadhog,Reaper,McCree
SORA-3954,Mei,Roadhog,Symmetra,Reinhardt,Hanzo
RAINBOW-31376,Hanzo,Genji,McCree,Widowmaker,Mei
Oskuxan-2477,Genji,Widowmaker,McCree,Reaper,Doomfist
Lymulis-1262,Pharah,Tracer,Lúcio,D.Va,Widowmaker
paladins-21183,Genji,Ana,Doomfist,Zarya,D.Va
doodoonesbit-1512,Roadhog,Tracer,Genji,Mei,Reaper
Threshish-1867,Doomfist,Reinhardt,Widowmaker,Tracer,Hanzo
milksgonebad-1890,Tracer,Soldier: 76,McCree,Doomfist,Reaper
Bajas-21522,Widowmaker,Hanzo,Reinhardt,Junkrat,Pharah
Zasc-2467,Widowmaker,Tracer,Zarya,Zenyatta,Soldier: 76
Glockoma-11768,D.Va,Doomfist,Orisa,McCree,Zarya
Ambientto-1436,Mercy,Ana,Moira,Reinhardt,Baptiste
Teabagged-11596,Hanzo,Doomfist,McCree,Genji,Roadhog
Talbotson-1651,Lúcio,Ana,Mei,Hanzo,Soldier: 76
sora-32523,Zarya,Reaper,McCree,Hanzo,Widowmaker
SukZ-2483,Reaper,McCree,Soldier: 76,Tracer,Junkrat
Spooky-12432,Hanzo,D.Va,Reaper,McCree,Roadhog
Spirit-12621,Mercy,D.Va,Pharah,Ana,Widowmaker
MemeDealer-11248,Genji,Hanzo,D.Va,Ana,Roadhog
CarlWheezer-11623,Winston,D.Va,Ashe,Torbjörn,Junkrat
wK0BRAw-21394,Sombra,Junkrat,Tracer,Roadhog,McCree
MilkMonsta-2693,Soldier: 76,Hanzo,Reaper,Roadhog,Tracer
scootypooty-21864,Genji,Widowmaker,Doomfist,Roadhog,Tracer
KingMaerko-2424,Baptiste,Brigitte,Ana,Winston,Lúcio
DapperRosè-1905,Wrecking Ball,Roadhog,Baptiste,Moira,Ana
